id,lang,pecha name,url
I737AD83D,bo,Geshe Langri Thangpa Series,https://github.com/OpenPecha-Data/I737AD83D
I544C5CA2,en,Getse Mahāpaṇḍita Series,https://github.com/OpenPecha-Data/I544C5CA2
I2E90C149,bo,Getse Mahāpaṇḍita Series,https://github.com/OpenPecha-Data/I2E90C149
I5F8D0D4D,en,Gompa Tsultrim Nyingpo Series,https://github.com/OpenPecha-Data/I5F8D0D4D
IFE373C9B,bo,Gompa Tsultrim Nyingpo Series,https://github.com/OpenPecha-Data/IFE373C9B
I70535D0B,en,Gönpo Tseten Rinpoche Series,https://github.com/OpenPecha-Data/I70535D0B
I8483CC47,bo,Gönpo Tseten Rinpoche Series,https://github.com/OpenPecha-Data/I8483CC47
ID7DB2370,en,Gorampa Sonam Senge,https://github.com/OpenPecha-Data/ID7DB2370
ID0C53BF1,bo,Gorampa Sonam Senge,https://github.com/OpenPecha-Data/ID0C53BF1
IA244069B,en,Götsangpa Gönpo Dorje,https://github.com/OpenPecha-Data/IA244069B
I0A5F51E1,bo,Götsangpa Gönpo Dorje,https://github.com/OpenPecha-Data/I0A5F51E1
I0370537B,en,Guru Chökyi Wangchuk,https://github.com/OpenPecha-Data/I0370537B
I11D99503,de,Guru Chökyi Wangchuk,https://github.com/OpenPecha-Data/I11D99503
IF2C2A03E,es,Guru Chökyi Wangchuk,https://github.com/OpenPecha-Data/IF2C2A03E
I8D86F9FF,fr,Guru Chökyi Wangchuk,https://github.com/OpenPecha-Data/I8D86F9FF
I1C8FE8B6,zh,Guru Chökyi Wangchuk,https://github.com/OpenPecha-Data/I1C8FE8B6
I92B96885,bo,Guru Chökyi Wangchuk,https://github.com/OpenPecha-Data/I92B96885
IB0BA10BA,en,Gyalse Shenpen Thaye Series,https://github.com/OpenPecha-Data/IB0BA10BA
ICA1968D7,es,Gyalse Shenpen Thaye Series,https://github.com/OpenPecha-Data/ICA1968D7
I614A4BC2,pt,Gyalse Shenpen Thaye Series,https://github.com/OpenPecha-Data/I614A4BC2
I4CEFFAAC,zh,Gyalse Shenpen Thaye Series,https://github.com/OpenPecha-Data/I4CEFFAAC
IDBBB1A17,bo,Gyalse Shenpen Thaye Series,https://github.com/OpenPecha-Data/IDBBB1A17
IBB82C75F,en,Gyalse Tokme Zangpo,https://github.com/OpenPecha-Data/IBB82C75F
ICE34817B,de,Gyalse Tokme Zangpo,https://github.com/OpenPecha-Data/ICE34817B
I04466173,es,Gyalse Tokme Zangpo,https://github.com/OpenPecha-Data/I04466173
I44474999,fr,Gyalse Tokme Zangpo,https://github.com/OpenPecha-Data/I44474999
I03877586,pt,Gyalse Tokme Zangpo,https://github.com/OpenPecha-Data/I03877586
I4B94289E,zh,Gyalse Tokme Zangpo,https://github.com/OpenPecha-Data/I4B94289E
I68277C19,bo,Gyalse Tokme Zangpo,https://github.com/OpenPecha-Data/I68277C19
I6E0553C3,en,Gyalwa Yangönpa,https://github.com/OpenPecha-Data/I6E0553C3
I27C8EE9F,bo,Gyalwa Yangönpa,https://github.com/OpenPecha-Data/I27C8EE9F
IA5D0C69D,en,Gyarong Khandro Series,https://github.com/OpenPecha-Data/IA5D0C69D
IF8B8DB0D,bo,Gyarong Khandro Series,https://github.com/OpenPecha-Data/IF8B8DB0D
ICF007F22,en,Jamgön Kongtrul Lodrö Thaye Series,https://github.com/OpenPecha-Data/ICF007F22
ICEDBC96E,de,Jamgön Kongtrul Lodrö Thaye Series,https://github.com/OpenPecha-Data/ICEDBC96E
IA59B9AEF,es,Jamgön Kongtrul Lodrö Thaye Series,https://github.com/OpenPecha-Data/IA59B9AEF
IF441FF44,fr,Jamgön Kongtrul Lodrö Thaye Series,https://github.com/OpenPecha-Data/IF441FF44
I63CC1B3A,pt,Jamgön Kongtrul Lodrö Thaye Series,https://github.com/OpenPecha-Data/I63CC1B3A
IC6CECABA,zh,Jamgön Kongtrul Lodrö Thaye Series,https://github.com/OpenPecha-Data/IC6CECABA
I47810315,bo,Jamgön Kongtrul Lodrö Thaye Series,https://github.com/OpenPecha-Data/I47810315
I2BBBAEA4,en,Jampal Dewe Nyima Series,https://github.com/OpenPecha-Data/I2BBBAEA4
I6CCC6CAF,bo,Jampal Dewe Nyima Series,https://github.com/OpenPecha-Data/I6CCC6CAF
I022DFD87,en,Jamyang Gyaltsen Series,https://github.com/OpenPecha-Data/I022DFD87
I60678BE4,bo,Jamyang Gyaltsen Series,https://github.com/OpenPecha-Data/I60678BE4
I7C4500CF,en,Jamyang Khyenrab Tayé Series,https://github.com/OpenPecha-Data/I7C4500CF
IBA800DAE,bo,Jamyang Khyenrab Tayé Series,https://github.com/OpenPecha-Data/IBA800DAE
ID9BC9F0F,en,Jamyang Khyentse Chökyi Lodrö Series,https://github.com/OpenPecha-Data/ID9BC9F0F
IBABBBCA0,de,Jamyang Khyentse Chökyi Lodrö Series,https://github.com/OpenPecha-Data/IBABBBCA0
I29CC01C9,es,Jamyang Khyentse Chökyi Lodrö Series,https://github.com/OpenPecha-Data/I29CC01C9
I960AA427,fr,Jamyang Khyentse Chökyi Lodrö Series,https://github.com/OpenPecha-Data/I960AA427
